immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1.210008717","20","20","4","46.939360798","0.582982298","55.192330534","60.976275800","86.940952139","14.762222358","9.580914448","0.000000000","0.000000000","0.742080685","0.000000000","1.2100087170854703","27","3927.355821237","36.939360798"
"10000000000","10000000000","1.219860444","20","20","4","46.934371287","0.709238865","55.192330534","61.438709580","91.947038644","14.894565430","9.693718570","0.000000000","0.000000000","0.742080685","0.000000000","1.2198604443830738","28","3927.111562780","36.934371287"
"10000000000","10000000000","1.229711705","20","20","4","46.900328453","0.787087558","55.192330534","61.901072336","96.988901511","15.014276990","9.795894740","0.000000000","0.000000000","0.742080685","0.000000000","1.229711705788936","29","3926.926340149","36.900328453"
"10000000000","10000000000","1.239568615","20","20","4","46.840590810","0.820759940","55.192330534","62.363364621","102.062950412","15.121998273","9.888478925","0.000000000","0.000000000","0.742080685","0.000000000","1.2395686152533394","30","3926.794885814","36.840590810"
"10000000000","10000000000","1.248449803","20","20","4","46.761001836","0.814673435","55.192330534","62.779364745","107.162313244","15.215274600","9.972414123","0.000000000","0.000000000","0.742080685","0.000000000","1.2484498040642023","31","3926.711839353","36.761001836"
"10000000000","10000000000","1.257344905","20","20","4","46.663871893","0.772810568","55.192330534","63.195308617","112.284439078","15.295537567","10.047949372","0.000000000","0.000000000","0.742080685","0.000000000","1.2573449059807105","32","3926.672969203","36.663871893"
"10000000000","10000000000","1.266257325","20","20","4","46.551264736","0.698761667","55.192330534","63.611196630","117.427028712","15.364078300","10.115911768","0.000000000","0.000000000","0.742080685","0.000000000","1.266257325795377","33","3926.673857940","36.551264736"
"10000000000","10000000000","1.275190112","20","20","4","46.425023840","0.599398835","55.192330534","64.027029156","122.588009848","15.425696604","10.173411733","0.000000000","0.000000000","0.742080685","0.000000000","1.275190112794135","34","3926.712088031","36.425023840"
"10000000000","10000000000","1.284146003","20","20","4","46.286795881","0.477273001","55.192330534","64.442806577","127.765514724","15.481075646","10.221488666","0.000000000","0.000000000","0.742080685","0.000000000","1.284146003210362","35","3926.782504156","36.286795881"
"10000000000","10000000000","1.293127456","20","20","4","46.138051681","0.334683367","55.192330534","64.858529254","132.957859927","15.530831215","10.264715468","0.000000000","0.000000000","0.742080685","0.000000000","1.2931274562373734","36","3926.878234212","36.138051681"
"10000000000","10000000000","1.302136686","20","20","4","45.980104907","0.173702231","55.192330534","65.274197559","138.163528211","15.575518363","10.303570770","0.000000000","0.000000000","0.742080685","0.000000000","1.3021366860318981","37","3926.996727270","35.980104907"
"10000000000","10000000000","1.311175688","20","19","4","45.814128762","0.155823649","55.800695498","65.530185559","143.381152090","15.615637366","10.338486012","0.000000000","0.000000000","0.742080685","0.000000000","1.3111756889246942","38","3927.108400128","35.814128762"
"10000000000","10000000000","1.31980998","20","19","4","45.642297617","0.145738459","56.379473463","65.743498066","148.607936545","15.650076618","10.369850079","0.000000000","0.000000000","0.742080685","0.000000000","1.3198099800427932","39","3927.265475648","35.642297617"
"10000000000","10000000000","1.328450565","20","19","4","45.465472785","0.797468030","56.194383119","65.280476384","153.842839584","15.679311373","10.398013487","0.000000000","0.000000000","0.742080685","0.000000000","1.3284505656988739","40","3927.439074908","35.465472785"
"10000000000","10000000000","1.336273972","20","20","4","45.286498392","0.579844151","56.194383119","65.636171261","159.081998401","15.700846311","10.423292163","0.000000000","0.000000000","0.742080685","0.000000000","1.3362739723698795","41","3927.654798495","35.286498392"
"10000000000","10000000000","1.344374224","20","20","4","45.105130817","0.353059696","56.194383119","66.003003297","164.325824288","15.717887743","10.444408334","0.000000000","0.000000000","0.742080685","0.000000000","1.3443742242101122","42","3927.856834003","35.105130817"
"10000000000","10000000000","1.352506124","20","20","4","44.921774568","0.118156657","56.194383119","66.369793735","169.573814728","15.730975144","10.461687494","0.000000000","0.000000000","0.742080685","0.000000000","1.3525061249757528","43","3928.070825106","34.921774568"
"10000000000","10000000000","1.360670296","20","19","4","44.736790639","0.482108560","56.225584683","66.133432087","174.825516860","15.743518459","10.474061856","0.000000000","0.000000000","0.742080685","0.000000000","1.3606702966067006","44","3928.266692785","34.736790639"
"10000000000","10000000000","1.368547576","20","20","4","44.551269091","0.238282673","56.225584683","66.485836312","180.079411921","15.753587633","10.482984704","0.000000000","0.000000000","0.742080685","0.000000000","1.368547576668628","45","3928.524974208","34.551269091"
"10000000000","10000000000","1.376702077","20","19","4","44.364823234","0.330996499","56.454993074","66.508425408","185.336092311","15.762277583","10.491816327","0.000000000","0.000000000","0.742080685","0.000000000","1.3767020777216155","46","3928.733216249","34.364823234"
"10000000000","10000000000","1.384603244","20","20","4","44.178369404","0.079294367","56.454993074","66.858959282","190.594256882","15.768740022","10.499692572","0.000000000","0.000000000","0.742080685","0.000000000","1.3846032448056262","47","3929.000420520","34.178369404"
"10000000000","10000000000","1.392781526","20","19","4","43.991477096","0.925791169","55.865955938","66.119870548","195.854557030","15.775145109","10.505597193","0.000000000","0.000000000","0.742080685","0.000000000","1.3927815261645562","48","3929.217494184","33.991477096"
"10000000000","10000000000","1.400737051","20","20","4","43.804923779","0.669110779","55.865955938","66.469845864","201.115869168","15.779776857","10.510575451","0.000000000","0.000000000","0.742080685","0.000000000","1.4007370517424682","49","3929.492574700","33.804923779"
"10000000000","10000000000","1.408847604","20","20","4","43.618531303","0.410946208","55.865955938","66.825128015","206.378467752","15.784210870","10.514844961","0.000000000","0.000000000","0.742080685","0.000000000","1.4088476048429777","50","3929.742836985","33.618531303"
"10000000000","10000000000","1.416177499","20","20","4","43.434245956","0.150646060","55.865955938","67.144847258","211.639448509","15.784891479","10.518464719","0.000000000","0.000000000","0.742080685","0.000000000","1.4161774996925653","51","3929.995884599","33.434245956"
"10000000000","10000000000","1.423537779","20","19","4","43.251959801","0.794669967","55.439488005","66.559199395","216.898939731","15.783070563","10.521612286","0.000000000","0.000000000","0.742080685","0.000000000","1.4235377791499857","52","3930.223132394","33.251959801"
"10000000000","10000000000","1.430719638","20","20","4","43.072034128","0.532071383","55.439488005","66.869828893","222.156362918","15.777895166","10.523910722","0.000000000","0.000000000","0.742080685","0.000000000","1.4307196388001524","53","3930.506810926","33.072034128"
"10000000000","10000000000","1.438040281","20","20","4","42.894089370","0.271090626","55.439488005","67.185143848","227.412254641","15.772806132","10.523579341","0.000000000","0.000000000","0.742080685","0.000000000","1.438040281259385","54","3930.764490288","32.894089370"
"10000000000","10000000000","1.445390589","20","20","4","42.718025733","0.011599404","55.439488005","67.500428609","232.666735360","15.767795629","10.520471979","0.000000000","0.000000000","0.742080685","0.000000000","1.4453905892074528","55","3931.023456096","32.718025733"
"10000000000","10000000000","1.452770487","20","19","4","42.543753043","0.476879461","55.161456077","67.092980071","237.919913576","15.763550658","10.516914409","0.000000000","0.000000000","0.742080685","0.000000000","1.4527704881027037","56","3931.253520077","32.543753043"
"10000000000","10000000000","1.459991694","21","20","4","42.371587053","0.476879461","56.168430043","67.144305583","243.171274487","15.759019846","5.257423187","5.255891723","0.000000000","0.742080685","0.000000000","1.4599916949209488","57","3931.504875523","32.371587053"
"10000000000","10000000000","1.466776881","21","21","4","42.202379619","0.222398742","56.168430043","67.431804715","248.419464034","15.752728674","5.254480719","5.255891723","0.000000000","0.742080685","0.000000000","1.4667768818214042","58","3931.785658854","32.202379619"
"10000000000","10000000000","1.474134168","22","21","4","42.034781026","0.222398742","57.177144807","67.489121488","253.666526840","15.746613264","5.254480719","5.253178216","0.048628527","0.790709212","0.000000000","1.4741341682658584","59","3932.009686461","32.034781026"
"10000000000","10000000000","1.482018199","22","21","4","41.869898462","0.573441199","57.034602058","67.221737058","258.914501231","15.743226744","5.251360911","5.253178216","0.000000000","0.790709212","0.000000000","1.4820181990485763","60","3932.259225084","31.869898462"
"10000000000","10000000000","1.488511551","23","22","4","41.706062850","0.573441199","58.044980810","67.245423502","264.158372429","15.738908395","5.251360911","5.248189547","0.045741530","0.836450742","0.000000000","1.488511551168873","61","3932.507532104","31.706062850"
